Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,2011-04-29,98636000,451683000,371494000
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",2011-04-15,285788000,2977290000,2736201000
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,2011-04-15,182002000,757574000,611681000
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,2011-04-15,34708000,103055000,99022000
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,2011-04-15,83037000,314019000,290005000
Rosemount National Bank,Rosemount,MN,24099,Central Bank,2011-04-15,5398000,21454000,20980000
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,2011-04-15,37841000,228328000,205035000
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,2011-04-08,38047000,186677000,182441000
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,2011-04-08,38492000,135064000,128573000
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,2011-03-25,44142000,163074000,161379000
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,2011-03-11,29846000,90183000,68331000
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,2011-03-11,73718000,190418000,183309000
Valley Community Bank,St. Charles,IL,34187,First State Bank,2011-02-25,28270000,123774000,124179000
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011-02-18,72906000,332596000,272216000
Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011-02-18,20076000,120833000,105309000
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2011-02-18,48229000,214275000,206490000
Habersham Bank,Clarkesville,GA,151,SCBT National Association,2011-02-18,119370000,387681000,339934000
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011-02-11,15617000,210859000,205285000
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2011-02-11,32294000,125531000,116715000
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2011-02-11,103057000,390524000,389868000
Badger State Bank,Cassville,WI,13272,Royal Bank,2011-02-11,19454000,83828000,78549000
North Georgia Bank,Watkinsville,GA,35242,BankSouth,2011-02-04,48161000,153172000,139672000
American Trust Bank,Roswell,GA,57432,Renasant Bank,2011-02-04,69323000,238205000,222161000
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2011-02-04,10213000,51083000,49504000
FirsTier Bank,Louisville,CO,57646,No Acquirer,2011-01-28,235633000,764090000,718797000
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",2011-01-28,230946000,2188154000,1847851000
The First State Bank,Camargo,OK,2303,Bank 7,2011-01-28,33590000,44546000,41204000
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,2011-01-28,28060000,240949000,193694000
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,2011-01-21,137752000,2153690000,1535194000
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,2011-01-21,43650000,99461000,94591000
The Bank of Asheville,Asheville,NC,34516,First Bank,2011-01-21,43945000,204925000,199394000
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",2011-01-21,45189000,340986000,314250000
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,2011-01-14,84066000,211149000,201369000
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,2011-01-07,32224000,136446000,119685000
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,2011-01-07,88904000,578638000,537223000
First Southern Bank,Batesville,AR,58052,Southern Bank,2010-12-17,24771000,191764000,155803000
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010-12-17,28548000,448150000,374218000
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010-12-17,96415000,242339000,193803000
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010-12-17,28452000,68201000,76360000
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010-12-17,83075000,244376000,240476000
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,2010-12-17,5827000,31569000,28844000
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010-12-10,68586000,252744000,213550000
Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010-12-10,22767000,112643000,104505000
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010-11-19,44443000,112144000,112193000
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010-11-19,12652000,106595000,91996000
First Banking Center,Burlington,WI,5287,First Michigan Bank,2010-11-19,86930000,750724000,664752000
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010-11-12,52561000,203955000,190182000
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010-11-12,125908000,654714000,587626000
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010-11-12,21383000,143729000,141573000
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,14264000,48000000,47012000
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,16943000,98635000,101127000
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,136787000,538258000,500056000
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010-11-05,26754000,221082000,193473000
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010-10-22,26950000,255920000,190615000
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010-10-22,34562000,94823000,86861000
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010-10-22,14277000,73922000,72198000
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010-10-22,46897000,126622000,122880000
The Gordon Bank,Gordon,GA,33904,Morris Bank,2010-10-22,10354000,29259000,26867000
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010-10-22,44303000,143451000,135475000
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010-10-22,275262000,1583611000,1488785000
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010-10-15,53100000,453349000,347080000
Premier Bank,Jefferson City,MO,34016,Providence Bank,2010-10-15,309403000,989382000,869367000
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010-10-15,22436000,87782000,70131000
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010-10-01,120039000,402205000,367228000
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010-10-01,23478000,92980000,90644000
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010-09-24,34827000,148575000,133561000
North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010-09-24,70800000,288776000,276081000
The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010-09-17,101852000,447185000,398181000
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010-09-17,101039000,248151000,242831000
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010-09-17,79709000,168820000,160718000
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010-09-17,18856000,81564000,79652000
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010-09-17,17928000,47523000,41551000
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010-09-17,88384000,350488000,248134000
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010-09-10,61295000,187819000,164594000
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,10285000,337113000,255501000
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,3434000,866459000,770899000
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,1663000,498751000,471256000
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,34038000,312077000,278832000
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010-08-20,11982000,156218000,141877000
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010-08-20,9170000,67918000,63708000
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010-08-20,525962000,2166431000,1547403000
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010-08-20,4746000,9448000,10090000
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010-08-13,66962000,493391000,467784000
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010-08-06,68542000,264628000,269448000
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,116866000,377469000,370016000
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,12479000,64344000,52720000
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,33627000,160763000,155531000
LibertyBank,Eugene,OR,31964,Home Federal Bank,2010-07-30,51621000,714574000,692670000
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,32256000,489019000,474742000
Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,41792000,354966000,329541000
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,304130000,970235000,932809000
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,6651000,28248000,27048000
Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,18495000,100649000,95100000
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,86297000,203690000,183985000
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,28068000,250488000,227935000
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,2425000,130411000,126993000
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,25533000,161355000,157997000
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,28658000,240251000,179169000
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,64179000,399441000,375522000
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,12789000,96584000,63291000
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,68274000,619374000,550891000
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,107349000,382803000,364808000
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,3756000,6177000,5803000
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,21144000,217743000,212612000
USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,63537000,190678000,188644000
Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,65822000,585445000,514038000
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,184045000,630179000,580140000
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,78339000,252520000,231857000
High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,28392000,80343000,80985000
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,70039000,492491000,479759000
Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,95151000,520887000,441362000
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,11534000,17028000,18092000
First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,18085000,60449000,63483000
TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,0,2824737000,2185817000
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,13175000,102913000,94252000
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,30582000,240513000,224024000
Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,87638000,640894000,559897000
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,60470000,595318000,531752000
Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,115960000,360662000,353943000
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,8410000,61215000,58288000
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,36321000,135688000,134005000
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,0,3172915000,2420738000
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,23558000,111239000,101884000
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,25580000,100659000,102463000
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,44322000,120246000,113243000
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,6342000,335798000,291173000
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,65967000,242871000,230190000
Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,7916000,31996000,31969000
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,340615000,1599122000,1418445000
BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,8620000,52204000,43635000
Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,57091000,195510000,162816000
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,2179824000,10797345000,8420357000
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,984319000,5681177000,4220108000
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,539124000,2453138000,1861350000
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,453920000,3250734000,2846886000
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,189810000,441694000,448917000
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,45596000,130165000,124676000
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,38369000,194618000,162627000
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,132056000,447239000,438999000
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,41327000,73490000,72772000
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,377438000,1059194000,1023421000
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,15939000,3066240000,2743485000
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,0,611504000,457206000
Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,22715000,266816000,223164000
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010-04-16,0,3393818000,2724475000
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010-04-16,16404000,104034000,100070000
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010-04-16,11969000,440122000,369617000
Butler Bank,Lowell,MA,26619,People's United Bank,2010-04-16,18261000,245534000,227420000
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010-04-16,20977000,49173000,48622000
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,154993000,981913000,919606000
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,2010-04-09,164585000,590024000,521138000
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,2010-03-26,108963000,496552000,426473000
Key West Bank,Key West,FL,34684,Centennial Bank,2010-03-26,16210000,88031000,67662000
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,2010-03-26,73589000,300590000,264286000
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,2010-03-26,164026000,363405000,343339000
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,2010-03-19,11725000,137175000,131117000
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,2010-03-19,107263000,377779000,339597000
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,2010-03-19,456455000,1010075000,917575000
Century Security Bank,Duluth,GA,58104,Bank of Upson,2010-03-19,37707000,96535000,93967000
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,2010-03-19,7026000,28159000,27801000
American National Bank,Parma,OH,18806,The National Bank and Trust Company,2010-03-19,14960000,70318000,66752000
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,2010-03-19,521525000,1525931000,1519471000
Old Southern Bank,Orlando,FL,58182,Centennial Bank,2010-03-12,76501000,336390000,319746000
Statewide Bank,Covington,LA,29561,Home Bank,2010-03-12,26124000,243215000,207821000
The Park Avenue Bank,New York,NY,27096,Valley National Bank,2010-03-12,76496000,520146000,494505000
LibertyPointe Bank,New York,NY,58071,Valley National Bank,2010-03-11,18407000,216500000,209477000
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,2010-03-05,122301000,535724000,443481000
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,2010-03-05,18737000,211711000,198487000
Waterfield Bank,Germantown,MD,34976,No Acquirer,2010-03-05,11322000,155566000,156188000
Centennial Bank,Ogden,UT,34430,No Acquirer,2010-03-05,71038000,212839000,205076000
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2010-02-26,14451000,51095000,50024000
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2010-02-26,2752000,717806000,446192000
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010-02-19,560147000,3646071000,2799362000
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2010-02-19,25614000,119578000,117097000
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2010-02-19,118852000,413673000,395310000
The La Coste National Bank,La Coste,TX,3287,Community National Bank,2010-02-19,5709000,53936000,49275000
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2010-02-05,4521000,18155000,16327000
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010-01-29,224134000,2082684000,1664450000
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",2010-01-29,308984000,835701000,776556000
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,2010-01-29,477591000,1181717000,1067957000
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010-01-29,203881000,840633000,780196000
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,2010-01-29,1063000,58566000,55662000
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,2010-01-29,28352000,329246000,287443000
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010-01-22,84454000,299225000,285554000
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010-01-22,7092000,20128000,20335000
Charter Bank,Santa Fe,NM,32498,Charter Bank,2010-01-22,127197000,1201922000,859933000
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010-01-22,54899000,955112000,908132000
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010-01-22,43422000,395980000,340378000
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010-01-15,23289000,70758000,68323000
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010-01-15,7707000,22895000,23912000
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010-01-15,108267000,709171000,697109000
